code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1709-K;EMPIRE COFFEE SIDE TABLE;70X67 CM ;ÜRÜN METAL  VE DEKTON MERMER MALZEMEDEN  OLUŞMAKTADIR. KAPLAMA YAPILMAKTADIR.   RENK:ALTIN BAKIR, KROM TALEBE GÖRE İSTENİLEN BOYA RENGİ DE YAPILABİLMEKTEDİR.;Bilgi Yok;YOK ;19000;26600;Bilgi Yok
PND1710;HYPONIC AVİZE/CHANDELIER;Bilgi Yok;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR. RENK:ALTIN BAKIR, KROM TALEBE GÖRE İSTENİLEN BOYA RENGİ DE YAPILABİLMEKTEDİR.;G9 LED AMPUL;var;38500;53900;Bilgi Yok
PND1711;MAJESTIC CHANDELIER;DIA:80 60 40 CM;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR. RENK:ALTIN BAKIR, KROM TALEBE GÖRE İSTENİLEN BOYA RENGİ DE YAPILABİLMEKTEDİR.;G9;var;27500;38500;Bilgi Yok
PND1711-A;MAJESTIC AYNA APLİK / MIRROR WALL;DIA:70 CM ;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR. RENK:ALTIN BAKIR, KROM TALEBE GÖRE İSTENİLEN BOYA RENGİ DE YAPILABİLMEKTEDİR.;G9;var;8500;11900;Bilgi Yok
PND1429;LUNA SARKIT/PENDANT ;35 Q;KRİSTAL CAM MALZEMEMDEN ÜRETİLMEKTEDİR;LED;Var;11000;15400;Bilgi Yok
PND1429-A;LUNA APLİK ;25X16X15 CM ;KRİSTAL CAM MALZEMEMDEN ÜRETİLMEKTEDİR;LED;Var;2900;4060;Bilgi Yok
PND1374;SHINE SARKIT/PENDANT ;ÖLÇÜLER 25X30 CM  ;ÜRÜN POLİRETAN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;3500;4900;1.750,00 TL
PND1381;SHINE SARKIT/PENDANT ;ÖLÇÜLER 35X55 CM  ;ÜRÜN POLİRETAN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;6500;9100;2.750,00 TL
PND1412-C;POLIRETEN SARKIT/PENDANT;ÖLÇÜLER 55 CM  ;ÜRÜN POLİRETAN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;6500;9100;Bilgi Yok
PND1412-A;POLIRETEN SARKIT/PENDANT;ÖLÇÜLER 75 CM  ;ÜRÜN POLİRETAN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;9000;12600;Bilgi Yok
