code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1685-A;MORRIS APLİK/WALL;6X90 CM;Materyal Metal Kasa Lumen 1800 Kelvin 3000 Renk Beyaz Siyah  ;samsung led Watt 18W;VAR;4000;5600;1.100,00 TL
PND1685-B;MORRIS APLİK/WALL;6X120 CM  ;Materyal Metal Kasa Lumen 2400 Kelvin 3000 Renk Beyaz Siyah  ;samsung led Watt 24 W;VAR;5000;7000;1.700,00 TL
PND1287;VERONICA 1  SARKIT;H: 100 CM ;ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.İSTENİLEN RENK KAPLANIP, BOYANA BİLİR.;G9 ;YOK;2900;4060;Bilgi Yok
PND1287-A;VERONICA 1 APLİK;H:85 ;ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.İSTENİLEN RENK KAPLANIP, BOYANA BİLİR.;E14;YOK;2500;3500;Bilgi Yok
PND1287-B;VERONICA 1 MASA LAMBASI;H:85 ;ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.İSTENİLEN RENK KAPLANIP, BOYANA BİLİR.;E14;YOK;2850;3990;2.380,00 TL
PND1288;VERONICA SARKIT/PENDANT;H:85 ;ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.İSTENİLEN RENK KAPLANIP, BOYANA BİLİR.;E14;YOK;1900;2750;Bilgi Yok
PND1288-C;VERONICA APLİK;56,5X15 CM ;Bilgi Yok;E14;YOK;2700;3780;Bilgi Yok
PND1288-B;VERONICA APLİK;30X150 CM ;Bilgi Yok;E14;YOK;2700;3780;Bilgi Yok
PND1288-A;VERONICA APLİK ;H:76 CM  CAM:10X40 CM EN:20 CM ;"ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.İSTENİLEN RENK KAPLANIP, BOYANA BİLİR.HAZIRDA BULUNAN RENKLERİ; BAL ,FÜME,ŞEFFAF ";E14;YOK;3900;5500;1.750,00 TL
PND1288-BA;VERONICA AVİZE/CHANDELIER;100 Q;15 KOLLUDUR. ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.İSTENİLEN RENK KAPLANIP, BOYANA BİLİR. ;E14;YOK;35000;49000;Bilgi Yok
PND1233;DIALLO  CHANDELIER/AVİZE SMALL;75X100 CM ;ÜRÜN METAL VE  İÇİ BOŞ  CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;E14;YOK;17500;24500;Bilgi Yok
PND1235;OCCO 6 LI SARKIT/PENDANT ;35 Q;6 adet kristal cam toptan oluşur. Metak aksanlar krom metaldir. ;G4X6;YOK;8500;11900;200,00 TL
PND1235-A;OCCO 10 LI SARKIT/PENDANT ;100x15 cm ;10 adet kristal cam toptan oluşur. Metak aksanlar krom metaldir. ;G4X10;YOK;14250;19950;Bilgi Yok
PND1235-B;OCCO 14 LI SARKIT/PENDANT ;Dia : 14 * 10 cm Glass   Note: 1 Glass is 2kg. ;14 adet kristal cam toptan oluşur. Metak aksanlar krom metaldir. ;G4X14;YOK;19800;27720;2.380,00 TL
PND1227;CLOUD SARKIT SMALL;35X20 CM ;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;5600;7850;2.800,00 TL
PND1227-A;CLOUD SARKIT MEDIUM;65X45X45CM;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;7000;8800;3.500,00 TL
PND1227-B;CLOUD SARKIT LARGE;90X45X45 CM;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;12600;15000;6.300,00 TL
PND1226;CLOUD SARKIT FANUS ;50 CM;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;11900;15000;5.950,00 TL
PND1227-C;CLOUD ABAJUR/TABLE LAMP;65 x 65 cm;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;8400;11760;4.200,00 TL
PND1227-D;CLOUD ABAJUR/TABLE LAMP;65 x 65 cm;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;8400;11760;4.200,00 TL
PND1227-E;CLOUD LAMBADER/FLOOR LAMP;150X50 CM ;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;12600;12750;6.300,00 TL
PND1227-F;CLOUD LAMBADER/FLOOR LAMP;175x55x45 cm;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;11200;15000;5.600,00 TL
PND1227-G;ZUZU SARKIT/ABAJUR ;Bilgi Yok;HİPOALERJENİK POLYESTER FİBER  (PLEXİ),YANMAZ KORDON HALOJEN FREE ,OSRAM LED,RGB IŞIK (KUMANDALI 16 RENK,  SİYAH KORDON AÇMA KAPAMA DÜĞMESİ;RGB;VAR;5500;7700;2.500,00 TL
PND1425-W;SAIERSE APLİK/WALL;30X60 CM ;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;2850;3990;Bilgi Yok
PND1431-W1;WINKLE ZARF APLİK/WALL;38X10X13 CM ;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;2750;3850;Bilgi Yok
PND1431-W2;WINKLE ZARF APLİK/WALL;40X12X8 CM ;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;1875;2625;  
PND1728;MAFSALLI APLİK ;Bilgi Yok;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;E14;YOK;1875;2625;Bilgi Yok
PND1714;HERA SARKIT;H:85 CM; ÜRÜN METAL VE CAM DAN OLUŞMAKTADIR. 5 ADET GLOB CAMDAN OLUŞMAKTADIR.  H: 85 CM ;G9 ;yok;12500;17500;Bilgi Yok
PND1714-A;HERA SARKIT;H:100 CM; ÜRÜN METAL VE CAM DAN OLUŞMAKTADIR. 5 ADET GLOB CAMDAN OLUŞMAKTADIR.  H: 100 CM ;G9 ;yok;15000;21000;Bilgi Yok
PND1714-B;HERA SARKIT;H:120 CM; ÜRÜN METAL VE CAM DAN OLUŞMAKTADIR. 5 ADET GLOB CAMDAN OLUŞMAKTADIR.  H: 120 CM ;G9 ;yok;17500;24500;Bilgi Yok
PND1714-P1;HERA SARKIT/PENDANT ;60x30 CM; ÜRÜN METAL VE CAM DAN OLUŞMAKTADIR. 4 ADET GLOB CAMDAN OLUŞMAKTADIR. ;G9  X4;yok;10000;14000;Bilgi Yok
PND1714-P2;HERA SARKIT/PENDANT ;80x30  CM; ÜRÜN METAL VE CAM DAN OLUŞMAKTADIR. 4 ADET GLOB CAMDAN OLUŞMAKTADIR. ;G9  X4;yok;11000;15400;Bilgi Yok
PND1714-P3;HERA SARKIT/PENDANT ;90X30 CM; ÜRÜN METAL VE CAM DAN OLUŞMAKTADIR. 5 ADET GLOB CAMDAN OLUŞMAKTADIR. ;G9 X5;yok;13000;18200;Bilgi Yok
PND1714-1;HERA RING SARKIT/PENDANT;90 Q; ÜRÜN METAL,ALÜMİNYUM DÖKÜM  VE CAM DAN OLUŞMAKTADIR. 24 GLOB CAM DAN OLUŞMAKTADIR. ÇAP 80 CM DİR.;G9;yok ;25000;35000;Bilgi Yok
PND1714-2;HERA SARKIT; ÇAP  90 CM  ÇAP:60 CM ;ÜRÜN METAL,ALÜMİNYUM DÖKÜM  VE CAM DAN OLUŞMAKTADIR. TOPLAM: 40 ADET GLOB CAMDAN OLUŞMAKTADIR.ÜRÜN METAL,ALÜMİNYUM DÖKÜM  VE CAM DAN OLUŞMAKTADIR. TOPLAM: 40 ADET GLOB CAMDAN OLUŞMAKTADIR.;G9;yok ;55000;77000;Bilgi Yok
PND1714-3;HERA SARKIT; ÇAP  90 CM  ÇAP:60 CM  ÇAP:40 CM ;ÜRÜN METAL,ALÜMİNYUM DÖKÜM  VE CAM DAN OLUŞMAKTADIR. TOPLAM: 40 ADET GLOB CAMDAN OLUŞMAKTADIR.ÜRÜN METAL,ALÜMİNYUM DÖKÜM  VE CAM DAN OLUŞMAKTADIR. TOPLAM: 40 ADET GLOB CAMDAN OLUŞMAKTADIR.;G9;yok ;75000;105000;Bilgi Yok
PND1715;SERA SARKIT;Q: 70 CM ; ÜRÜN ALÜMİNYUM DÖKÜM MALZEMEDEN  OLUŞMAKTADIR. 8 ADET E14 DUY BULUNMAKTADIR.;E14;YOK;19000;27000;Bilgi Yok
PND1715-A;SERA APLİK ;45X15X6 CM; ÜRÜN ALÜMİNYUM DÖKÜM MALZEMEDEN  OLUŞMAKTADIR.  8 ADET E14 DUY BULUNMAKTADIR.;G9;YOK;3800;5500;Bilgi Yok
PND1727;YAPRAK ARMATÜR;70X 10 CM; ÜRÜN ALÜMİNYUM DÖKÜM MALZEMEDEN  OLUŞMAKTADIR.  8 ADET E14 DUY BULUNMAKTADIR.;E14;YOK;25000;35000;Bilgi Yok
PND1727-AP;YAPRAK APLİK /WALL;30X 10 CM ; ÜRÜN,ALÜMİNYUM DÖKÜM MALZEMEDEN OLUŞMAKTADIR. ;G9;YOK;3500;4900;Bilgi Yok
PND1300;QENVA APLİK;57X27 CM ;METAL VE PASLANMAZ MALZEMEDEN OLUŞMAKTADIR;DS LED;VAR;6500;9100;Bilgi Yok
PND17407;STELLA APLİK;ÖLÇÜLER 110X30;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. ;E14;VAR;3400;5000;Bilgi Yok
PND1764-AP;GRACE  APLİK;ÖLÇÜLER 60X 15 CM ;METAL MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;G4;VAR;1875;2650;Bilgi Yok
PND1764;GRACE  SARKIT;50X10 CM ;METAL MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;G4;VAR;2200;3000;Bilgi Yok
PND1764-M;GRACE ABAJUR;ÖLÇÜLER 45x85cm;ÜRÜN PASLANMAZ MALZEMEDEN OLUŞMAKTADIR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. ;E27;VAR;12500;17500;Bilgi Yok
PND1764-A;GRACE AVİZE/CHANDELIER;ÖLÇÜLER 100X80 CM ;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;G4;VAR;25000;35000;Bilgi Yok
PND1764-B;GRACE  MASA ÜSTÜ AVİZE /CHANDELİER;ÖLÇÜLER 100X50 X60CM;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.  ;G4;VAR;28500;40000;Bilgi Yok
PND1764-C;GRACE  MASA ÜSTÜ AVİZE /CHANDELİER;ÖLÇÜLER 140X50X75 CM;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR. ;G4;VAR;45000;65000;Bilgi Yok
PND1764-D;GRACE MASA /TABLE ;200X100 CM ;  ÜRÜN METAL MALZEMEDEN ÜRETİLMİŞTİR. İSTENİLEN RNK BOYANA BİLİR. ÖLÇÜLENDİRİLEBİLİR. ;Bilgi Yok;YOK;135000;189000;Bilgi Yok
PND1740;PETSO APLİK;D: 12 CM  CAM D:13 CM ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;E14;YOK;780;1092;Bilgi Yok
PND1740-D;PETSO TABLE;D: 15 CM  CAM D:20 CM  H:63 CM ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;E27;YOK;980;1372;Bilgi Yok
PND1741-A;MUSH TABLE ;D:30 CM H:45 CM ;Bilgi Yok;E27;YOK;3900;5460;800,00 TL
PND1742;TULU PENDANT;D:45 CM  H: 55 CM ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR CAM  ÖLÇÜSÜ: 8 CM DİR.;G9 ;YOK;890;1246;Bilgi Yok
PND1380-A;BLOOM SARKIT;D:40 CM  H: 63 CM ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR CAM  ÖLÇÜSÜ: 8 CM DİR.;G9 ;YOK;1800;2520;Bilgi Yok
PND1380;REBECA SARKIT ;D: 40 cm  H: 88 cm ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR CAM  ÖLÇÜSÜ: 8 CM DİR.;G9 ;YOK;2150;3010;Bilgi Yok
PND1378;DINGDONG SARKIT;60 Q; METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR CAM  ÖLÇÜSÜ: 12 CM DİR.;E14;YOK;3950;5530;Bilgi Yok
PND1390-T;APLİKQA MASA LAMBASI;20 X 60 CM  ; METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR CAM  ÖLÇÜSÜ:12 CM Q DİR.;G9 ;YOK;650;910;Bilgi Yok
PND17413;VIOLET SARKIT ;D: 40 cm   ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR CAM  ÖLÇÜSÜ: 8 CM DİR.;G9 ;YOK;1450;2030;Bilgi Yok
PND17414;RİXOS  APLİK;D:  9 CM H: 55 CM  ;ÜRÜN METAL  VE İÇİ DOLU PLEKSİ  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR ;DS LED;var;1850;2590;Bilgi Yok
PND17415;ARORA  APLİK;D: 8 CM  H:53 CM  CAM D: 25 CM ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR ;E27;var;820;1148;Bilgi Yok
PND17415-A;ARORA  APLİK;D:  8 CM  H: 75 CM CAM D: 25 CM  ;ÜRÜN METAL  MALZEMEDEN OLUŞMAKTADIR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR ;E27;YOK;1070;1498;Bilgi Yok
PND1352-W;SARA ZİNCİR APLİK /WALL;ÖLÇÜLER 15 X 40   ZİNCİR DAHİL 65CM;ÜRÜN METAL MALZEMEDEN ÜRETİLMİŞTİR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. İSTENİLEN RENK KAPLAMA YAPILIR.;E14 X 1  MAX 20 W;YOK;2800;3920;Bilgi Yok
PND1352-W2;SARA ZİNCİR APLİK /WALL;ÖLÇÜLER 55 X 50 CM;ÜRÜN  METAL MALZEMEDEN ÜRETİLMİŞTİR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. İSTENİLEN RENK KAPLAMA YAPILIR.;E14 X 2  MAX 20 W;YOK;5900;8260;350,00 TL
PND1387;SARA ZİNCİR AVİZE / CHANDELIER;ÖLÇÜLER  80 Q  ;6 KOLLU  ÜRÜN METAL METAL MALZEMEDEN ÜRETİLMİŞTİR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. İSTENİLEN RENK KAPLAMA YAPILIR.;E14 MAX 20 W;YOK;16500;23100;Bilgi Yok
PND1387-A;SARA ZİNCİR AVİZE / CHANDELIER;ÖLÇÜLER  100 Q  ;8 KOLLU ÜRÜN  METAL MALZEMEDEN ÜRETİLMİŞTİR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. İSTENİLEN RENK KAPLAMA YAPILIR.;E14 MAX 20 W;YOK;22800;31920;Bilgi Yok
PND1387-B;SARA ZİNCİR AVİZE / CHANDELIER;ÖLÇÜLER  80 Q  X 50 ;8 KOLLU ÜRÜN  METAL MALZEMEDEN ÜRETİLMİŞTİR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. İSTENİLEN RENK KAPLAMA YAPILIR.;E14  MAX 20 W;YOK;18500;25900;Bilgi Yok
PND1387-C;SARA ZİNCİR AVİZE / CHANDELIER;ÖLÇÜLER  100 Q  X 50 ;10 KOLLU ÜRÜN  METAL MALZEMEDEN ÜRETİLMİŞTİR.  KUMAŞ ŞAPKA KULLANILMIŞTIR. İSTENİLEN RENK KAPLAMA YAPILIR.;E14  MAX 20 W;YOK;25500;35700;Bilgi Yok
PND1341-W;YILAN APLİK / WALL;90X29 CM ;POLİRETEN MALZEMEDEN ÜRETİLMİŞTİR.METAL ŞAPKADAN OLUŞMAKTADIR. BAKIR,ALTIN,KROM RENKLERİNDEN OLUŞMAKTADIR.;E14;YOK;7000;9800;Bilgi Yok
PND1341-WI;YILAN AYNA/MIRROR;Bilgi Yok;POLİRETEN MALZEMEDEN ÜRETİLMİŞTİR.KROM AYNA KULLANILMIŞTIR BAKIR,ALTIN,KROM RENKLERİNDEN OLUŞMAKTADIR.;Bilgi Yok;YOK;10750;15050;Bilgi Yok
PND1325;GLAZE TAŞ AVİZE /CHANDELIER;90X40X120 CM ;CAM MALZEMEDEN ÜRETİLMEKTEDİR.;SPOTLED;VAR;35000;49000;Bilgi Yok
PND1340;LEAF YAPRAK AVİZE/CHANDELIER;80X130 CM;ÖZEL ÜRETİM YAPRAK CAM VE PASLANMAZ MAZLEMEDEN ÜRETİLMEKTEDİR.ŞEFFAF VE BAL RENKLERİ MEVCUTTUR;SPOTLED;VAR;55000;77000;Bilgi Yok
PND13668;WAWE BOZNUZ AVİZE/CHANDELIER;80X190 CM ;ÖZEL ÜRETİM BOYNUZ ŞEKLİNDE  CAM VE PASLANMAZ MAZLEMEDEN ÜRETİLMEKTEDİR.ŞEFFAF VE BAL RENKLERİ MEVCUTTUR;SPOTLED;VAR;65000;91000;Bilgi Yok
PND1259;WATERFALL ;60X30X120 ;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR. ;G9 ;YOK ;38000;53200;Bilgi Yok
